,text_id,reader_id,lang,spearman_r,spearman_p,measures,layers
22351,11,he_25,he,0.005815158725515499,0.9497381264138052,Total fixation duration,Middle
22352,11,he_25,he,0.03225275422238991,0.7265607437353205,Total fixation duration,Last
22353,11,he_25,he,0.01586066491198429,0.8634869709493234,Gaze duration,First
22354,11,he_25,he,-0.027696203817376912,0.7639645846877503,Gaze duration,Middle
22355,11,he_25,he,0.0017101571634223693,0.9852098550999222,Gaze duration,Last
22356,11,he_27,he,0.3231348440208456,0.0003184801250270608,Total fixation duration,First
22357,11,he_27,he,-0.17619424809713358,0.05422971643547285,Total fixation duration,Middle
22358,11,he_27,he,-0.2345140063492395,0.009933327373092379,Total fixation duration,Last
22359,11,he_27,he,0.34116111586431497,0.00013719460073280724,Gaze duration,First
22360,11,he_27,he,-0.2812170295801617,0.0018621841468638158,Gaze duration,Middle
22361,11,he_27,he,-0.375337029992553,2.3992328068807912e-05,Gaze duration,Last
22362,11,he_30,he,-0.031564960415100596,0.73216810299783,Total fixation duration,First
22363,11,he_30,he,-0.1133375773767719,0.21775062051219118,Total fixation duration,Middle
22364,11,he_30,he,-0.09365164139463193,0.3089620734243655,Total fixation duration,Last
22365,11,he_30,he,-0.005077127128123942,0.9561103007008813,Gaze duration,First
22366,11,he_30,he,-0.09107879220047546,0.32250014059979515,Gaze duration,Middle
22367,11,he_30,he,-0.07701236806810466,0.4031320591748975,Gaze duration,Last
22368,11,he_33,he,0.2791495570706163,0.002018190404040791,Total fixation duration,First
22369,11,he_33,he,-0.13012579556825982,0.15660952166862716,Total fixation duration,Middle
22370,11,he_33,he,-0.3256027158909785,0.00028466257608373744,Total fixation duration,Last
22371,11,he_33,he,0.04936676777021674,0.5923372497724163,Gaze duration,First
22372,11,he_33,he,-0.06157997276795537,0.5040387467613028,Gaze duration,Middle
22373,11,he_33,he,-0.0921077763321067,0.31704056784422185,Gaze duration,Last
22374,11,he_35,he,0.0748185727769308,0.41670159590596234,Total fixation duration,First
22375,11,he_35,he,0.10723566817677337,0.24370447288707303,Total fixation duration,Middle
22376,11,he_35,he,0.1087786774346561,0.23694738747747324,Total fixation duration,Last
22377,11,he_35,he,0.041324797878672465,0.6540494758343602,Gaze duration,First
22378,11,he_35,he,0.09640135971377474,0.294909421406378,Gaze duration,Middle
22379,11,he_35,he,0.08703890024988242,0.34451644890915534,Gaze duration,Last
22380,11,he_36,he,-0.037866025563294596,0.6813606229846063,Total fixation duration,First
22381,11,he_36,he,-0.05711078604873317,0.5355376176044592,Total fixation duration,Middle
22382,11,he_36,he,-0.056421109564368126,0.5404842094843691,Total fixation duration,Last
22383,11,he_36,he,-0.02718667968046911,0.7681830052695153,Gaze duration,First
22384,11,he_36,he,-0.1463343497829837,0.11074989998208866,Gaze duration,Middle
22385,11,he_36,he,-0.10355320950937429,0.2603670169773503,Gaze duration,Last
22386,11,he_37,he,0.018108172634266173,0.8443715202625451,Total fixation duration,First
22387,11,he_37,he,0.07674233085156508,0.40478810447546176,Total fixation duration,Middle
22388,11,he_37,he,-0.08885751906145307,0.33449086356165003,Total fixation duration,Last
22389,11,he_37,he,-0.01562506545143816,0.8654955621657474,Gaze duration,First
22390,11,he_37,he,0.06526276220183837,0.47882712187129717,Gaze duration,Middle
22391,11,he_37,he,-0.09075739291160559,0.3242177526648672,Gaze duration,Last
22392,11,he_38,he,-0.16985228868713928,0.06364424728544134,Total fixation duration,First
22393,11,he_38,he,-0.05677301341819992,0.5379574205683203,Total fixation duration,Middle
22394,11,he_38,he,0.020383807259543897,0.8251086450691545,Total fixation duration,Last
22395,11,he_38,he,0.014894563764818469,0.871728816274146,Gaze duration,First
22396,11,he_38,he,-0.0552520043118687,0.5489206163875544,Gaze duration,Middle
22397,11,he_38,he,-0.017729964818270813,0.8475822358347528,Gaze duration,Last
22398,11,he_39,he,-0.09709679860422016,0.29142339946282136,Total fixation duration,First
22399,11,he_39,he,0.03465231841788063,0.7071125802599341,Total fixation duration,Middle
22400,11,he_39,he,0.02834556862145639,0.7585984271281958,Total fixation duration,Last
22401,11,he_39,he,-0.053374362875858984,0.5626027261303554,Gaze duration,First
22402,11,he_39,he,-0.062364645191368834,0.49860971945056576,Gaze duration,Middle
22403,11,he_39,he,-0.006832336115116477,0.9409610845332732,Gaze duration,Last
22404,11,he_41,he,-0.1881043262679072,0.03964627228958724,Total fixation duration,First
22405,11,he_41,he,0.001012311694222178,0.991244789136248,Total fixation duration,Middle
22406,11,he_41,he,0.016179473064402216,0.8607703768621214,Total fixation duration,Last
22407,11,he_41,he,-0.06078498989612613,0.5095703480455351,Gaze duration,First
22408,11,he_41,he,-0.034422526117053626,0.7089671024094348,Gaze duration,Middle
22409,11,he_41,he,-0.05728564079762846,0.5342870886278162,Gaze duration,Last
22410,11,he_43,he,-0.07028353566447802,0.44558096977299,Total fixation duration,First
22411,11,he_43,he,0.00021881116558915376,0.9981075254914369,Total fixation duration,Middle
22412,11,he_43,he,-0.10664439427642802,0.24632883308532302,Total fixation duration,Last
22413,11,he_43,he,-0.01941541924721683,0.8332938917003481,Gaze duration,First
22414,11,he_43,he,0.021509783792131275,0.8156149959379579,Gaze duration,Middle
22415,11,he_43,he,-0.03302010568574068,0.7203218140556068,Gaze duration,Last
22416,11,he_45,he,-0.05785695321493868,0.5302113391707384,Total fixation duration,First
22417,11,he_45,he,0.17966636648190437,0.04958173612413696,Total fixation duration,Middle
22418,11,he_45,he,0.13312170145408628,0.14720605571324938,Total fixation duration,Last
22419,11,he_45,he,0.024455687196188455,0.7909060742201841,Gaze duration,First
22420,11,he_45,he,-0.010954869679985569,0.9054717898880494,Gaze duration,Middle
22421,11,he_45,he,-0.026727242291531058,0.7719925746853578,Gaze duration,Last
22422,11,he_47,he,0.11281107758023665,0.21990945917403415,Total fixation duration,First
22423,11,he_47,he,-0.0730477845876627,0.4278461069412868,Total fixation duration,Middle
22424,11,he_47,he,-0.15376285199799858,0.09359250193475029,Total fixation duration,Last
22425,11,he_47,he,-0.007253593123050208,0.9373281444495464,Gaze duration,First
22426,11,he_47,he,-0.13238420972426243,0.1494803424158395,Gaze duration,Middle
22427,11,he_47,he,-0.17770777274736202,0.05216129050972053,Gaze duration,Last
22428,11,he_49,he,-0.1278906840496593,0.16391278960007596,Total fixation duration,First
22429,11,he_49,he,0.016421706939391212,0.8587073643719325,Total fixation duration,Middle
22430,11,he_49,he,0.04447994167618143,0.6295273844303115,Total fixation duration,Last
22431,11,he_49,he,-0.07510582817489081,0.4149098182591425,Gaze duration,First
22432,11,he_49,he,0.06461851538183688,0.48318784578243157,Gaze duration,Middle
22433,11,he_49,he,0.10321321550832738,0.26194375695117483,Gaze duration,Last
22434,11,he_50,he,0.172772096515071,0.05915627780340809,Total fixation duration,First
