,text_id,reader_id,lang,spearman_r,spearman_p,measure,layer
236,4,it_9,it,0.09815985632587372,0.24516234242741805,Total fixation duration,Last
237,4,it_9,it,0.02896324532524713,0.7322318793195575,Gaze duration,First
238,4,it_9,it,0.04497360595652475,0.5951038288884334,Gaze duration,Middle
239,4,it_9,it,0.04875406283856988,0.5644938652245782,Gaze duration,Last
240,4,no_9,no,0.07906058580316896,0.3496576587315088,Total fixation duration,First
241,4,no_9,no,0.08957629125444529,0.28908869720454816,Total fixation duration,Middle
242,4,no_9,no,0.08820157966097432,0.29658296202208073,Total fixation duration,Last
243,4,no_9,no,0.02387513595185157,0.7779200162400708,Gaze duration,First
244,4,no_9,no,0.035970921496842986,0.6708425414642691,Gaze duration,Middle
245,4,no_9,no,0.0460968459170437,0.5859310596706173,Gaze duration,Last
246,4,ru_9,ru,0.07869603439301623,0.3518910292990356,Total fixation duration,First
247,4,ru_9,ru,0.08454694718361357,0.3171262884582356,Total fixation duration,Middle
248,4,ru_9,ru,0.0860536829631406,0.3085474342940139,Total fixation duration,Last
249,4,ru_9,ru,0.020626982305820014,0.8075001581794715,Gaze duration,First
250,4,ru_9,ru,0.03572996528641991,0.672920454906622,Gaze duration,Middle
251,4,ru_9,ru,0.04557928123047701,0.5901496116461902,Gaze duration,Last
252,4,sp_9,sp,0.06459258452066365,0.4450435022949054,Total fixation duration,First
253,4,sp_9,sp,0.10193612201403632,0.22738599907779752,Total fixation duration,Middle
254,4,sp_9,sp,0.09815985632587372,0.24516234242741805,Total fixation duration,Last
255,4,sp_9,sp,0.02896324532524713,0.7322318793195575,Gaze duration,First
256,4,sp_9,sp,0.04497360595652475,0.5951038288884334,Gaze duration,Middle
257,4,sp_9,sp,0.04875406283856988,0.5644938652245782,Gaze duration,Last
258,4,tr_49,tr,0.10746430674509788,0.2030336064709757,Total fixation duration,First
259,4,tr_49,tr,0.07028003461926147,0.40591185698763477,Total fixation duration,Middle
260,4,tr_49,tr,0.06585413387930619,0.4361846003905121,Total fixation duration,Last
261,4,tr_49,tr,0.04621000815187211,0.5850105474676023,Gaze duration,First
262,4,tr_49,tr,0.05203576764859354,0.5385455145698328,Gaze duration,Middle
263,4,tr_49,tr,0.05605093138806055,0.5076242440867109,Gaze duration,Last
264,5,du_6,du,0.2687670438487993,0.00019972696171242463,Total fixation duration,First
265,5,du_6,du,-0.2313448995995728,0.0014439857366020904,Total fixation duration,Middle
266,5,du_6,du,-0.21264300316744905,0.0034796736686667586,Total fixation duration,Last
267,5,du_6,du,0.18855047390181512,0.009757045085250899,Gaze duration,First
268,5,du_6,du,-0.17414921793244942,0.017138130841393838,Gaze duration,Middle
269,5,du_6,du,-0.1636256113881579,0.02524413193949422,Gaze duration,Last
270,5,en_99,en,0.25967129901717256,0.00033207142964840314,Total fixation duration,First
271,5,en_99,en,-0.20973532244088586,0.003964534758872827,Total fixation duration,Middle
272,5,en_99,en,-0.19942092178133566,0.006213540189537785,Total fixation duration,Last
273,5,en_99,en,0.1827918066534087,0.01227933401543775,Gaze duration,First
274,5,en_99,en,-0.15435540501297462,0.0349201450907961,Gaze duration,Middle
275,5,en_99,en,-0.15142285234791614,0.03857084088408275,Gaze duration,Last
276,5,fi_9,fi,0.23044568173560062,0.0015088091814589233,Total fixation duration,First
277,5,fi_9,fi,-0.20395178724138313,0.005113619336163009,Total fixation duration,Middle
278,5,fi_9,fi,-0.19803346558564777,0.006590261989421718,Total fixation duration,Last
279,5,fi_9,fi,0.16424122528527227,0.024692414992785634,Gaze duration,First
280,5,fi_9,fi,-0.16080768115569682,0.027906672604622994,Gaze duration,Middle
281,5,fi_9,fi,-0.16478626141914932,0.02421262863430441,Gaze duration,Last
282,5,ge_9,ge,0.23847074238692798,0.0010136115941343218,Total fixation duration,First
283,5,ge_9,ge,-0.20645858642951787,0.0045831928596993836,Total fixation duration,Middle
284,5,ge_9,ge,-0.19540187697965566,0.007361146654159103,Total fixation duration,Last
285,5,ge_9,ge,0.15865689883615516,0.030097184231514106,Gaze duration,First
286,5,ge_9,ge,-0.15560689865264132,0.03345370488092323,Gaze duration,Middle
287,5,ge_9,ge,-0.15601796967617146,0.032983577453205244,Gaze duration,Last
288,5,gr_9,gr,0.25719569604773335,0.00038016468417728086,Total fixation duration,First
289,5,gr_9,gr,-0.21498198581347797,0.003129224552428049,Total fixation duration,Middle
290,5,gr_9,gr,-0.20036234826267174,0.0059689962109360905,Total fixation duration,Last
291,5,gr_9,gr,0.1761183224440938,0.015904027749042877,Gaze duration,First
292,5,gr_9,gr,-0.15937726381643677,0.029347730725751635,Gaze duration,Middle
293,5,gr_9,gr,-0.15407554626364958,0.03525541551903263,Gaze duration,Last
294,5,he_7,he,0.23847074238692798,0.0010136115941343218,Total fixation duration,First
295,5,he_7,he,-0.20645858642951787,0.0045831928596993836,Total fixation duration,Middle
296,5,he_7,he,-0.19540187697965566,0.007361146654159103,Total fixation duration,Last
297,5,he_7,he,0.15865689883615516,0.030097184231514106,Gaze duration,First
298,5,he_7,he,-0.15560689865264132,0.03345370488092323,Gaze duration,Middle
299,5,he_7,he,-0.15601796967617146,0.032983577453205244,Gaze duration,Last
300,5,it_9,it,0.2606274066132273,0.00031505840887695606,Total fixation duration,First
301,5,it_9,it,-0.20918386306926504,0.004063077061595553,Total fixation duration,Middle
302,5,it_9,it,-0.20688626861578993,0.004497803845787614,Total fixation duration,Last
303,5,it_9,it,0.18522061356968206,0.0111529762591025,Gaze duration,First
304,5,it_9,it,-0.15143661589296492,0.038552983010187246,Gaze duration,Middle
305,5,it_9,it,-0.1602627185479078,0.028448390875736664,Gaze duration,Last
306,5,no_9,no,0.2687670438487993,0.00019972696171242463,Total fixation duration,First
307,5,no_9,no,-0.2313448995995728,0.0014439857366020904,Total fixation duration,Middle
308,5,no_9,no,-0.21264300316744905,0.0034796736686667586,Total fixation duration,Last
309,5,no_9,no,0.18855047390181512,0.009757045085250899,Gaze duration,First
310,5,no_9,no,-0.17414921793244942,0.017138130841393838,Gaze duration,Middle
311,5,no_9,no,-0.1636256113881579,0.02524413193949422,Gaze duration,Last
312,5,ru_8,ru,0.25888310667071285,0.0003467335949169034,Total fixation duration,First
313,5,ru_8,ru,-0.2020690278487195,0.005547512740352717,Total fixation duration,Middle
314,5,ru_8,ru,-0.18914322390858224,0.009525438984816136,Total fixation duration,Last
315,5,ru_8,ru,0.17880588400728412,0.014345088127479899,Gaze duration,First
316,5,ru_8,ru,-0.14835266423236995,0.04273241228972332,Gaze duration,Middle
317,5,ru_8,ru,-0.14805537165931648,0.04315466694338692,Gaze duration,Last
318,5,sp_8,sp,0.2577664243824224,0.00036853669513834406,Total fixation duration,First
319,5,sp_8,sp,-0.2027856497609256,0.005378622789852814,Total fixation duration,Middle
320,5,sp_8,sp,-0.19046819451194408,0.009025233645054528,Total fixation duration,Last
321,5,sp_8,sp,0.17881047185563373,0.014342545529149202,Gaze duration,First
322,5,sp_8,sp,-0.14784433063523528,0.04345653353016069,Gaze duration,Middle
323,5,sp_8,sp,-0.14855361199008202,0.042448966361795626,Gaze duration,Last
324,5,tr_48,tr,0.2888483119005469,6.091126201357139e-05,Total fixation duration,First
325,5,tr_48,tr,-0.2655172571995961,0.00024000839091298614,Total fixation duration,Middle
326,5,tr_48,tr,-0.2365468167200618,0.0011163923610890806,Total fixation duration,Last
327,5,tr_48,tr,0.18106777631483945,0.013138373924875792,Gaze duration,First
328,5,tr_48,tr,-0.19114728376321893,0.008777993825470683,Gaze duration,Middle
329,5,tr_48,tr,-0.17988869874805133,0.01375581598269155,Gaze duration,Last
330,6,du_8,du,0.03647553060468912,0.6609420057696157,Total fixation duration,First
331,6,du_8,du,-0.0003664553566706209,0.9964852457127671,Total fixation duration,Middle
332,6,du_8,du,-0.002874974499240644,0.9724308272315447,Total fixation duration,Last
333,6,du_8,du,0.08324211293828462,0.3161591213452459,Gaze duration,First
334,6,du_8,du,-0.052355941824236064,0.5288286036739773,Gaze duration,Middle
335,6,du_8,du,-0.060861869811916366,0.4639911289556242,Gaze duration,Last
336,6,en_99,en,0.054399782393338904,0.5128434744588557,Total fixation duration,First
337,6,en_99,en,0.008898828947359964,0.9148099092401407,Total fixation duration,Middle
338,6,en_99,en,-0.002045729516024377,0.9803808503372707,Total fixation duration,Last
339,6,en_99,en,0.08876539373685828,0.28500311849322724,Gaze duration,First
340,6,en_99,en,-0.0522652723720023,0.5295435097064062,Gaze duration,Middle
341,6,en_99,en,-0.06186112273340934,0.45667282230990514,Gaze duration,Last
342,6,fi_9,fi,0.06219162970630681,0.45426646729924214,Total fixation duration,First
343,6,fi_9,fi,-0.0156820225313376,0.8504667982831743,Total fixation duration,Middle
344,6,fi_9,fi,-0.026460343485783803,0.7503851283169383,Total fixation duration,Last
345,6,fi_9,fi,0.0728528360622294,0.3805305515088132,Gaze duration,First
346,6,fi_9,fi,-0.05247111802884797,0.5279211695434449,Gaze duration,Middle
347,6,fi_9,fi,-0.06261475341710175,0.45119613937832415,Gaze duration,Last
348,6,ge_9,ge,0.06207451510778322,0.4551183450417846,Total fixation duration,First
349,6,ge_9,ge,-0.009342722649963353,0.9105776673456771,Total fixation duration,Middle
350,6,ge_9,ge,-0.021156185539747185,0.7992299338126112,Total fixation duration,Last
